258,0
433,0
990,153
738,408
639,408
433,408
496,683
731,683
890,708
890,754
890,915
890,1208
890,1260
939,1367
1166,1367
1327,1787
1327,1848
1327,1888
1327,1942
1327,1961
1327,2147
1435,2340
1435,2757
2065,2757
2478,3463
2478,3499
2906,3463
3476,2719
3272,1352
3272,1220
2744,1188
2400,1348
2242,1348
1938,1348
1938,1454
2194,1454
2290,1469
2290,1474
2290,1530
2290,2018
2371,2231
2419,2151
3031,2719
2727,2855
2727,2990
2862,2719
3026,2719
3240,3670
3714,3889
4093,3912
5702,3531
5702,3178
5581,3167
4888,3326
2313,3999
2119,3700
2104,3700
1389,3807
2308,3999
2119,3996
2119,3779
2119,3988
